# This CSV file contains sample data for testing the Check-In/Check-Out tool.
# Columns:
# - Vorname: First name of the individual
# - Name: Last name of the individual
# - Reisegruppe: Group the individual belongs to
# - Alter: Age of the individual
# - Geschlecht: Gender of the individual (männlich, weiblich, divers)
#
# Example rows:
Name,Vorname,Reisegruppe,Alter,Geschlecht
Doe,John,Gruppe A,25,männlich
Smith,Jane,Gruppe B,30,weiblich
Johnson,Alex,Gruppe C,22,divers
Brown,Michael,Gruppe D,35,männlich
Davis,Emily,Gruppe E,28,weiblich
Miller,Chris,Gruppe F,40,männlich
Wilson,Taylor,Gruppe A,19,divers
Moore,Jordan,Gruppe B,45,weiblich
Anderson,Ryan,Gruppe C,33,männlich
Thomas,Sophia,Gruppe D,27,weiblich
Jackson,Olivia,Gruppe E,50,divers
White,Ethan,Gruppe F,29,männlich
Harris,Emma,Gruppe A,31,weiblich
Martin,Ava,Gruppe B,24,divers
Thompson,Liam,Gruppe C,38,männlich
Garcia,Isabella,Gruppe D,26,weiblich
Martinez,Mia,Gruppe E,21,divers
Robinson,Noah,Gruppe F,36,männlich
Clark,Lucas,Gruppe A,28,weiblich
Rodriguez,Amelia,Gruppe B,32,divers
Lewis,Benjamin,Gruppe C,23,männlich
Lee,Charlotte,Gruppe D,34,weiblich
Walker,Harper,Gruppe E,37,divers
Hall,Elijah,Gruppe F,20,männlich
Allen,James,Gruppe A,39,weiblich
Young,Scarlett,Gruppe B,41,divers
Hernandez,Henry,Gruppe C,30,männlich
King,Victoria,Gruppe D,22,weiblich
Wright,Ella,Gruppe E,25,divers
Lopez,Jack,Gruppe F,29,männlich
Scott,Oliver,Gruppe A,33,weiblich
Green,Sophia,Gruppe B,27,divers
Adams,William,Gruppe C,35,männlich
Baker,Avery,Gruppe D,40,weiblich
Gonzalez,Evelyn,Gruppe E,19,divers
Nelson,Daniel,Gruppe F,45,männlich
Carter,Grace,Gruppe A,50,weiblich
Mitchell,Hannah,Gruppe B,28,divers
Perez,Samuel,Gruppe C,31,männlich
Roberts,Lily,Gruppe D,24,weiblich
Turner,Zoe,Gruppe E,38,divers
Phillips,Matthew,Gruppe F,26,männlich
Campbell,Levi,Gruppe A,21,weiblich
Parker,Chloe,Gruppe B,36,divers
Evans,Nathan,Gruppe C,28,männlich
Edwards,Abigail,Gruppe D,32,weiblich
Collins,Ella,Gruppe E,23,divers
Stewart,Isaac,Gruppe F,34,männlich
Sanchez,Victoria,Gruppe A,37,weiblich
Morris,Liam,Gruppe B,20,divers
Rogers,Mason,Gruppe C,39,männlich
Reed,Sofia,Gruppe D,41,weiblich
Cook,Aiden,Gruppe E,30,divers
Morgan,Layla,Gruppe F,22,männlich
Bell,Eleanor,Gruppe A,25,weiblich
Murphy,Logan,Gruppe B,29,divers
Bailey,Caleb,Gruppe C,33,männlich
Rivera,Aria,Gruppe D,27,weiblich
Cooper,Gabriel,Gruppe E,35,divers
Richardson,Lillian,Gruppe F,40,männlich
Cox,Sebastian,Gruppe A,19,weiblich
Howard,Zoey,Gruppe B,45,divers
Ward,Julian,Gruppe C,50,männlich
Brooks,Penelope,Gruppe D,28,weiblich
Gray,Madison,Gruppe E,31,divers
James,David,Gruppe F,24,männlich
Bennett,Hazel,Gruppe A,38,weiblich
Barnes,Eli,Gruppe B,26,divers
Ross,Aurora,Gruppe C,21,männlich
Henderson,Isaiah,Gruppe D,36,weiblich
Jenkins,Lucy,Gruppe E,28,divers
Perry,Wyatt,Gruppe F,32,männlich
Long,Savannah,Gruppe A,23,weiblich
Patterson,Hunter,Gruppe B,34,divers
Hughes,Brooklyn,Gruppe C,37,männlich
Flores,Carter,Gruppe D,20,weiblich
Washington,Addison,Gruppe E,39,divers
Butler,Evan,Gruppe F,41,männlich
Simmons,Nora,Gruppe A,30,weiblich
Foster,Landon,Gruppe B,22,divers
Gonzales,Paisley,Gruppe C,25,männlich
Bryant,Owen,Gruppe D,29,weiblich
Alexander,Ellie,Gruppe E,33,divers
Russell,Dylan,Gruppe F,27,männlich
Griffin,Aubrey,Gruppe A,35,weiblich
Hayes,Caroline,Gruppe B,40,divers
Myers,Luke,Gruppe C,19,männlich
Ford,Stella,Gruppe D,45,weiblich
Hamilton,Leah,Gruppe E,50,divers
Graham,Isaac,Gruppe F,28,männlich
Sullivan,Mila,Gruppe A,31,weiblich
Wallace,Eli,Gruppe B,24,divers
Woods,Luna,Gruppe C,38,männlich
Cole,Henry,Gruppe D,26,weiblich
West,Avery,Gruppe E,21,divers
Jordan,Ethan,Gruppe F,36,männlich
