Name,Vorname,Reisegruppe,Alter,Geschlecht
Bauer,Anna,Gruppe BA,28,Weiblich
Keller,Max,Gruppe BB,27,Männlich
Schuster,Lea,Gruppe BC,26,Weiblich
Graf,Tom,Gruppe BD,25,Männlich
Brandt,Marie,Gruppe BE,24,Weiblich
Simon,Paul,Gruppe BF,23,Männlich
Kuhn,Julia,Gruppe BG,22,Weiblich
Franke,Jan,Gruppe BH,31,Männlich
Albrecht,Clara,Gruppe BI,30,Weiblich
Vogel,Noah,Gruppe BJ,29,Männlich
Otto,Luisa,Gruppe BK,28,Weiblich
Heinrich,Leon,Gruppe BL,27,Männlich
Peters,Emma,Gruppe BM,26,Weiblich
Mayer,Jonas,Gruppe BN,25,Männlich
Arnold,Anna,Gruppe BO,24,Weiblich
Winkler,Max,Gruppe BP,23,Männlich
Hahn,Lea,Gruppe BQ,22,Weiblich
Scholz,Tom,Gruppe BR,31,Männlich
Engel,Marie,Gruppe BS,30,Weiblich
Dietrich,Paul,Gruppe BT,29,Männlich
Ziegler,Julia,Gruppe BU,28,Weiblich
Reuter,Jan,Gruppe BV,27,Männlich
Busch,Clara,Gruppe BW,26,Weiblich
Horn,Noah,Gruppe BX,25,Männlich
König,Luisa,Gruppe BY,24,Weiblich
Kraft,Leon,Gruppe BZ,23,Männlich
Voigt,Emma,Gruppe CA,22,Weiblich
Linke,Jonas,Gruppe CB,31,Männlich
Berg,Anna,Gruppe CC,30,Weiblich
Michel,Max,Gruppe CD,29,Männlich
